Line_Item_ID,Date,Credit_Card_Number,Quantity,Menu_Item
1,01-01-2017,6195733987165706,3,burnt garlic tonkotsu ramen
2,01-01-2017,6195733987165706,3,burnt garlic tonkotsu ramen
3,01-01-2017,7107206544323295,1,tonkotsu ramen
4,01-01-2017,7107206544323295,1,tonkotsu ramen
5,01-01-2017,1502679018401558,1,miso crab ramen
6,01-01-2017,1502679018401558,1,miso crab ramen
7,01-01-2017,4661424075192998,1,vegetarian curry + king trumpet mushroom ramen
8,01-01-2017,4661424075192998,1,vegetarian curry + king trumpet mushroom ramen
9,01-01-2017,492508942851893,1,tonkotsu ramen
10,01-01-2017,492508942851893,1,tonkotsu ramen
11,01-01-2017,2979970581735306,1,nagomi shoyu
12,01-01-2017,2979970581735306,1,nagomi shoyu
13,01-01-2017,473409464558578,1,shio ramen
14,01-01-2017,473409464558578,1,shio ramen
15,01-01-2017,2296045400172142,1,tonkotsu ramen
16,01-01-2017,2296045400172142,1,tonkotsu ramen
17,01-01-2017,5583670629992472,1,tori paitan ramen
18,01-01-2017,5583670629992472,1,tori paitan ramen
19,01-01-2017,4755881864439740,1,vegetarian curry + king trumpet mushroom ramen
20,01-01-2017,4755881864439740,1,vegetarian curry + king trumpet mushroom ramen
21,01-01-2017,591378721707004,1,spicy miso ramen
22,01-01-2017,591378721707004,1,spicy miso ramen
23,01-01-2017,1190812649634758,1,miso crab ramen
24,01-01-2017,1190812649634758,1,miso crab ramen
25,01-01-2017,2596593310873513,1,nagomi shoyu
26,01-01-2017,2596593310873513,1,nagomi shoyu
27,01-01-2017,6009836429501813,2,vegetarian curry + king trumpet mushroom ramen
28,01-01-2017,6009836429501813,2,vegetarian curry + king trumpet mushroom ramen
29,01-01-2017,2567512685568685,1,vegetarian spicy miso
30,01-01-2017,2567512685568685,1,vegetarian spicy miso
31,01-01-2017,7145759100622464,1,shio ramen
32,01-01-2017,7145759100622464,1,shio ramen
33,01-01-2017,647632317340078,1,spicy miso ramen
34,01-01-2017,647632317340078,1,spicy miso ramen
35,01-01-2017,8723666365530763,1,nagomi shoyu
36,01-01-2017,8723666365530763,1,nagomi shoyu
37,01-01-2017,3945398019379052,1,tori paitan ramen
38,01-01-2017,3945398019379052,1,tori paitan ramen
39,01-01-2017,915023330136121,1,shio ramen
40,01-01-2017,915023330136121,1,shio ramen
41,01-01-2017,5632504432273643,1,tori paitan ramen
42,01-01-2017,5632504432273643,1,tori paitan ramen
43,01-01-2017,4314695523776892,2,vegetarian curry + king trumpet mushroom ramen
44,01-01-2017,4314695523776892,2,vegetarian curry + king trumpet mushroom ramen
45,01-01-2017,8604556617622506,1,vegetarian curry + king trumpet mushroom ramen
46,01-01-2017,8604556617622506,1,vegetarian curry + king trumpet mushroom ramen
47,01-01-2017,3789233865788622,1,nagomi shoyu
48,01-01-2017,3789233865788622,1,nagomi shoyu
49,01-01-2017,7194574158012717,1,tonkotsu ramen
50,01-01-2017,7194574158012717,1,tonkotsu ramen
51,01-01-2017,7403523405959578,2,vegetarian spicy miso
52,01-01-2017,7403523405959578,2,vegetarian spicy miso
53,01-01-2017,1790560101639488,1,tori paitan ramen
54,01-01-2017,1790560101639488,1,tori paitan ramen
55,01-01-2017,6011064805658234,1,spicy miso ramen
56,01-01-2017,6011064805658234,1,spicy miso ramen
57,01-01-2017,4442246608088302,1,soft-shell miso crab ramen
58,01-01-2017,4442246608088302,1,soft-shell miso crab ramen
59,01-01-2017,7000923043177583,3,spicy miso ramen
60,01-01-2017,7000923043177583,3,spicy miso ramen
61,01-01-2017,655801019723163,1,vegetarian curry + king trumpet mushroom ramen
62,01-01-2017,655801019723163,1,vegetarian curry + king trumpet mushroom ramen
63,01-01-2017,1016491411206597,1,nagomi shoyu
64,01-01-2017,1016491411206597,1,nagomi shoyu
65,01-01-2017,1856057842132358,1,vegetarian curry + king trumpet mushroom ramen
66,01-01-2017,1856057842132358,1,vegetarian curry + king trumpet mushroom ramen
67,01-01-2017,4244449353684359,1,truffle butter ramen
68,01-01-2017,4244449353684359,1,truffle butter ramen
69,01-01-2017,7726249726498584,1,vegetarian spicy miso
70,01-01-2017,7726249726498584,1,vegetarian spicy miso
71,01-01-2017,5530476006410221,1,miso crab ramen
72,01-01-2017,5530476006410221,1,miso crab ramen
73,01-01-2017,84606598077558,1,spicy miso ramen
74,01-01-2017,84606598077558,1,spicy miso ramen
75,01-01-2017,4647939518465272,1,nagomi shoyu
76,01-01-2017,4647939518465272,1,nagomi shoyu
77,01-01-2017,8434414892682141,1,vegetarian curry + king trumpet mushroom ramen
78,01-01-2017,8434414892682141,1,vegetarian curry + king trumpet mushroom ramen
79,01-01-2017,4509724090611037,1,shio ramen
80,01-01-2017,4509724090611037,1,shio ramen
